iddesa;desa;kdkec;kddesa
7603010001;SIBANAWA;010;001
7603010002;BATANGURU;010;002
7603010003;TABONE;010;003
7603010004;TADISI;010;004
7603010005;SASAKAN;010;005
7603010006;SUMARORONG;010;006
7603010007;BANEA;010;007
7603010008;SALUBALO;010;008
7603010009;BATANGURU TIMUR;010;009
7603010010;RANTE KAMASE;010;010
7603020001;MESSAWA;020;001
7603020002;RIPPUNG;020;002
7603020003;MAKUANG;020;003
7603020004;SEPANG;020;004
7603020005;MALIMBONG;020;005
7603020006;MATANDE;020;006
7603020007;SIPAI;020;007
7603020008;PASAPA' MAMBU;020;008
7603020009;TANETE BATU;020;009
7603030001;PANA;030;001
7603030002;MANIPI;030;002
7603030003;MAMULLU;030;003
7603030004;ULUSALU;030;004
7603030005;SAPAN;030;005
7603030006;DATU BARINGAN;030;006
7603030007;PANURA;030;007
7603030008;TALLANG BULAWAN;030;008
7603030009;KARAKA;030;009
7603030010;WERI;030;010
7603030011;ULUSALU INDAH;030;011
7603030012;SALUTAMBUN;030;012
7603030013;SALOAN;030;013
7603031001;NOSU;031;001
7603031002;MASEWE;031;002
7603031003;BATU PAPAN;031;003
7603031004;MINANGA;031;004
7603031005;SIWI;031;005
7603031006;MINANGA TIMUR;031;006
7603031007;PARINDING;031;007
7603040001;TABANG;040;001
7603040002;TABANG BARAT;040;002
7603040003;TADO' KALUA;040;003
7603040004;MASUPPU;040;004
7603040005;BAKADISURA;040;005
7603040006;KALAMA';040;006
7603040007;SALUKONA;040;007
7603050001;MAMASA;050;001
7603050002;OSANGO;050;002
7603050003;RAMBU SARATU;050;003
7603050004;LAMBANAN;050;004
7603050005;LEMBANGNA SALULO;050;005
7603050006;TAUPE;050;006
7603050007;BUNTUBUDA;050;007
7603050008;TONDOK BAKARU;050;008
7603050009;PEBASSIAN;050;009
7603050010;MAMBULILLING;050;010
7603050011;BOMBONG LAMBE;050;011
7603050012;BUBUN BATU;050;012
7603060001;MESAKADA;060;001
7603060002;TAMALANTIK;060;002
7603060003;BALA BATU;060;003
7603060004;MALABO;060;004
7603060005;MINAKE;060;005
7603060006;MANNABABA;060;006
7603060007;PARONDO BULAWAN;060;007
7603060008;SINDAGAMANIK;060;008
7603060009;KANAN;060;009
7603060010;PAMBE;060;010
7603060011;SALURANO;060;011
7603060012;TALIMBUNG;060;012
7603061001;BALLA;061;001
7603061002;BALLA SATANETEAN;061;002
7603061003;BALLA BARAT;061;003
7603061004;PIDARA;061;004
7603061005;BALLA TUMUKA';061;005
7603061006;BAMBAPUANG;061;006
7603061007;SEPAKUAN;061;007
7603061008;BALLA TIMUR;061;008
7603070001;RANTEPUANG;070;001
7603070002;MELANGKENA PADANG;070;002
7603070003;PALADAN;070;003
7603070004;SATANETEAN;070;004
7603070005;OROBUA SELATAN;070;005
7603070006;OROBUA;070;006
7603070007;OROBUA TIMUR;070;007
7603070008;LISUAN ADA';070;008
7603070013;MALIMBONG;070;013
7603070014;MARAMPAN OROBUA;070;014
7603071001;TAWALIAN TIMUR;071;001
7603071002;KARIANGO;071;002
7603071003;TAWALIAN;071;003
7603071004;RANTETANGNGA;071;004
7603080001;MAMBI;080;001
7603080002;TALIPPUKI;080;002
7603080004;RANTEBULAHAN;080;004
7603080006;SONDONG LAJUK;080;006
7603080010;SALUBANUA;080;010
7603080011;TAPALINNA;080;011
7603080012;PAMMOSEANG;080;012
7603080013;SALUMAKAK;080;013
7603080014;BUJUNGMANURUNG;080;014
7603080016;SENDANA;080;016
7603080027;INDO BANUA;080;027
7603080028;SALUALO';080;028
7603080029;SALUDURIAN;080;029
7603081001;BAMBANG;081;001
7603081002;BAMBANG TIMUR;081;002
7603081003;RANTELEMO;081;003
7603081004;ULUMAMBI;081;004
7603081005;SALUDENGEN;081;005
7603081006;MINANGA;081;006
7603081007;SIKAMASE;081;007
7603081008;LEMBANGMOKALLANG;081;008
7603081009;MASOSO;081;009
7603081010;SALUASSING;081;010
7603081011;SALUBULO;081;011
7603081012;SALUKADI;081;012
7603081013;SALUKEPOPO;081;013
7603081014;ULUMAMBI BARAT;081;014
7603081015;LIMBADEBATA;081;015
7603081016;TANETE TOMBA;081;016
7603081017;SALUTABANG;081;017
7603081018;SALURURU;081;018
7603081019;RANTETARIMA;081;019
7603081020;BALATANA;081;020
7603082001;SALUMOKANAN;082;001
7603082002;LEKO;082;002
7603082003;BUANGIN;082;003
7603082004;SALUMOKANAN BARAT;082;004
7603082005;SALUMOKANAN UTARA;082;005
7603082006;BAMBANG BUDA;082;006
7603082007;KIRAK;082;007
7603082008;SAMPALE;082;008
7603083001;BOTTENG;083;001
7603083002;PASSEMBUK;083;002
7603083003;SALUKONTA;083;003
7603083004;LEKO SUKAMAJU;083;004
7603083005;MESAKADA;083;005
7603083006;MEHALAAN;083;006
7603083007;MEHALAAN BARAT;083;007
7603083008;SALUAHOK;083;008
7603083009;KONDO;083;009
7603083010;ULUMEA;083;010
7603083011;SALUBALO;083;011
7603090001;ARALLE;090;001
7603090003;RALLEANAK;090;003
7603090004;PANETEAN;090;004
7603090005;UHAILANU;090;005
7603090007;ARALLE UTARA;090;007
7603090009;UHAIDAO;090;009
7603090010;BARURU;090;010
7603090015;RALLEANAK UTARA;090;015
7603090016;PAMMOSEANG PANGGA;090;016
7603090017;ARALLE SELATAN;090;017
7603090018;HAHANGAN;090;018
7603090019;KALABE;090;019
7603091001;ARALLE TIMUR;091;001
7603091002;SALUTAMBUN TIMUR;091;002
7603091003;SALUTAMBUN;091;003
7603091004;KEBANGA;091;004
7603091005;SALUTAMBUN BARAT;091;005
7603091006;KABAE;091;006
7603091007;SALURINDUK;091;007
7603091008;PENATANGAN;091;008
7603091009;BUNTU MALANGKA;091;009
7603091010;RANTEBERANG;091;010
7603091011;TAORA;091;011
7603100001;LAKAHANG;100;001
7603100002;PERIANGAN;100;002
7603100003;MALATIRO;100;003
7603100004;TABULAHAN;100;004
7603100005;SALULEANG;100;005
7603100007;TAMPAK KURRA;100;007
7603100008;GANDANG DEWATA;100;008
7603100009;BURANA;100;009
7603100010;SALUBAKKA;100;010
7603100011;PANGANDARAN;100;011
7603100012;LAKAHANG UTAMA;100;012
7603100013;TALOPAK;100;013
7603100014;TIMORO;100;014
7603100015;PEU;100;015